"filename", "language", "JavaScript", "Vue", "Markdown", "CSS", "JSON", "XML", "HTML", "JSON with Comments", "comment", "blank", "total"
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\actions\messages.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 8, 67
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\actions\misc.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 10, 103
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\actions\parkour.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\actions\play_sound.vue", "Vue", 0, 89, 0, 0, 0, 0, 0, 0, 0, 7, 96
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\actions\potion_effects.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 4, 66
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\actions\teleport.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 12, 88
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\actions\when_action_triggered.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\items\item.vue", "Vue", 0, 65, 0, 0, 0, 0, 0, 0, 4, 9, 78
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\items\lore.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\items\name.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\items\right_click_action.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\text_component.vue", "Vue", 0, 138, 0, 0, 0, 0, 0, 0, 20, 13, 171
